,budget,popularity,release_date,revenue,runtime,title,vote_average,vote_count,month,Action,Adventure,Fantasy,Animation,Science Fiction,Drama,Thriller,Family,Comedy,History,War,Western,Romance,Crime,Mystery,Horror,Music,Documentary,Foreign,warner,universal,paramount,walt_disney,sony,Number_Genres
2287,0,2.242809,2009-09-11,0,113.0,I Can Do Bad All By Myself,6.0,40,09,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2288,27000000,1.224105,2016-07-22,0,90.0,Fight Valley,3.9,8,07,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2289,19000000,27.494037,2010-05-11,49830607,101.0,The Switch,5.9,583,05,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
2290,18000000,18.475179999999998,2003-01-09,101564935,95.0,Just Married,5.3,404,01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2291,19100000,10.559414,2011-02-11,5728213,109.0,The Devil's Double,6.5,208,02,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5
2292,0,1.916351,2000-07-26,0,85.0,Thomas and the Magic Railroad,4.6,8,07,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
2293,20000000,28.867568,2010-02-26,54956140,101.0,The Crazies,6.2,633,02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3
2294,15000000,118.968562,2001-07-20,274925095,125.0,Spirited Away,8.3,3840,07,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2295,0,3.3769669999999996,2013-12-12,0,110.0,Firestorm,5.9,43,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
2296,25000000,7.436491,1984-05-04,8613462,132.0,The Bounty,6.5,108,05,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2297,0,57.84156,2013-11-08,76586316,131.0,The Book Thief,7.4,1486,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2298,19000000,17.952817,2008-10-16,18755936,109.0,Sex Drive,6.0,342,10,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
2299,19000000,21.959742000000002,2010-01-08,29922472,100.0,Leap Year,6.4,465,01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
2300,19000000,4.229941999999999,1964-03-24,4750000,188.0,The Fall of the Roman Empire,6.0,33,03,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
2301,19000000,11.766564,2011-03-04,6928068,97.0,Take Me Home Tonight,6.2,208,03,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
2302,0,2.3662509999999997,2012-09-28,5310554,121.0,Won't Back Down,5.8,40,09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2303,19000000,0.068228,1993-11-24,2119994,93.0,The Nutcracker,5.6,5,11,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3
2304,18000000,5.380733,1996-08-16,0,116.0,Kansas City,6.1,12,08,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4
2305,0,5.625989,2016-07-29,0,110.0,Indignation,6.8,69,07,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2306,19000000,30.205942999999998,2005-04-15,108047131,90.0,The Amityville Horror,6.0,588,04,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3
2307,19000000,26.441669,2002-12-06,32801173,114.0,Adaptation.,7.3,638,12,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
2308,15000000,15.262492000000002,2005-06-24,46770602,93.0,Land of the Dead,6.0,381,06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2309,0,1.583918,2013-03-10,0,107.0,Out of Inferno,5.8,11,03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2310,18500000,44.511363,1998-05-22,10680275,118.0,Fear and Loathing in Las Vegas,7.2,1301,05,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
2311,18500000,16.665841,2009-09-13,31912793,100.0,The Invention of Lying,6.0,518,09,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
2312,18000000,36.471231,2014-05-08,268157400,96.0,Neighbors,6.2,2713,05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2313,23000000,85.30318,1994-07-29,351583407,101.0,The Mask,6.6,2472,07,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4
2314,18000000,20.716023,1988-06-03,151668774,104.0,Big,6.9,993,06,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5
2315,18000000,29.487784,2006-11-01,261572744,82.0,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,6.5,1579,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2316,18000000,25.43954,2001-07-13,141774679,96.0,Legally Blonde,6.1,882,07,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2317,18000000,15.314027,1984-05-31,87000000,105.0,Star Trek III: The Search for Spock,6.4,434,05,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
2318,19000000,32.602868,2005-09-09,144216468,122.0,The Exorcism of Emily Rose,6.3,659,09,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4
2319,17000000,9.832326,1999-12-10,65535067,88.0,Deuce Bigalow: Male Gigolo,5.5,308,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2320,16000000,33.452469,2014-10-03,19682924,110.0,Left Behind,3.7,392,10,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2321,0,14.190837,2005-12-14,0,103.0,The Family Stone,6.2,249,12,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3
2322,18000000,6.501815000000001,2004-01-20,65070412,106.0,Barbershop 2:  Back in Business,5.6,74,01,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2323,23000000,26.588729999999998,2003-11-26,76488889,91.0,Bad Santa,6.5,656,11,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
2324,16500000,36.15716,1997-05-02,67683989,94.0,Austin Powers: International Man of Mystery,6.5,1013,05,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
2325,18000000,16.027955,2016-03-23,88923251,94.0,My Big Fat Greek Wedding 2,5.5,322,03,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3
2326,21000000,14.329891,2011-03-25,72417394,99.0,Diary of a Wimpy Kid: Rodrick Rules,6.3,238,03,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
2327,18000000,50.009408,1987-06-11,98235548,107.0,Predator,7.3,2093,06,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
2328,18000000,31.82675,1984-10-26,51973029,160.0,Amadeus,7.8,1076,10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3
2329,0,9.642041,2008-04-10,14796236,88.0,Prom Night,4.8,167,04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
2330,17000000,36.423716999999996,2004-04-30,129042871,97.0,Mean Girls,6.9,2320,04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2331,0,12.309718,2003-04-30,0,113.0,Under the Tuscan Sun,6.4,172,04,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3
2332,19800000,11.693272,2001-11-07,87754044,137.0,Gosford Park,6.8,246,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
2333,18000000,12.243886999999999,1986-10-05,41382841,103.0,Peggy Sue Got Married,5.9,136,10,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4
2334,18000000,89.811154,2014-08-27,103215094,119.0,Birdman,7.4,4535,08,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2335,18000000,34.694216,2013-07-25,99206215,98.0,Blue Jasmine,7.0,1098,07,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2336,15000000,17.501379999999997,2006-04-28,76286096,111.0,United 93,6.9,367,04,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5
